C:\PCS\PCS64e\Curves\2022'12'26-17'12'20-TupyS-1_3.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	117.109	1142.05	-0.282676	0	-0.00116788	0.6063	0.0157216	4.33458	-1.24015	0	3.13285	1.0315	-0.42912	0.112806	1.75962	-0.032922	0
PUP	124.402	1139.83	-0.369445	-0.0181664	0.000487123	0.663528	0.00362889	2.57026	-0.119445	0	1.10258	0.454114	0.774223	-0.00453063	0.304955	0.469971	-0.4116
			§														
C:\PCS\PCS64e\Curves\2022'12'26-17'19'41-TupyS-1_2.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	120.081	1141.69	-0.245731	0	-0.00189619	0.624954	0.0165553	4.48748	-0.685972	0	2.84152	1.12477	-0.491645	-0.0590325	1.74563	0.0121967	0
PUP	126.044	1140.12	-0.308682	-0.014154	-0.000124108	0.691203	0.0090837	1.52216	-0.0586819	0	1.17518	0.564813	-0.31674	0.000781177	0.231429	0.527698	-0.602321
																	
C:\PCS\PCS64e\Curves\2022'12'26-17'15'53-TupyS-1_1.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	98.9341	1147.19	-0.287435	0	-0.00592431	0.556478	-0.000211627	-2.50862	-1.31152	0	1.23028	0.78239	0.734128	0.640705	-4.31625	-0.268353	0
PMAX	100.604	1146.71	-0.298233	0.00139651	-0.00345347	0.548394	0	0.39938	-0.0723502	0	0.509305	-0.361244	1.4	-0.0246093	-0.643311	-0.035261	-0.37315
PUP	102.916	1146	-0.313423	-0.00224991	-0.000524878	0.545822	-0.00134252	1.50575	-0.0634233	0	1.09502	-0.0167105	1.2315	-0.0360591	-0.437568	-0.0275104	-0.2395
DN	117.104	1141.69	-0.269422	0	-0.00267198	0.654784	0.0141936	2.94796	-1.04132	0	2.53121	1.27392	-0.314523	0.0905404	0.328458	0.0796755	0
PUP	124.402	1139.53	-0.356798	-0.018209	0.000174924	0.714332	0.0051047	2.38115	-0.106798	0	1.16502	0.657328	0.479059	-0.00370785	0.13602	0.616095	-0.561862
																	
C:\PCS\PCS64e\Curves\2022'12'26-19'47'50-TupyS-1_1.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
PMAX	86.4105	1148.65	-0.33101	0.0157165	-0.00947381	0.552091	0	-0.731249	-0.121515	0	-0.694762	-0.33536	1.4	-0.0145521	-0.576583	-0.174238	-0.214241
DN	87.7121	1148.22	-0.330334	0	-0.00591556	0.554533	-0.00789629	-4.77063	-1.95502	0	1.23378	0.772665	0.157778	0.347519	-4.9473	-0.380055	0
DN	113.162	1140.28	-0.15926	0	-0.00376248	0.76706	0.0184044	6.4316	0.611104	0	2.09501	1.8353	-0.63033	-0.446581	2.81287	0.15423	0
PUP	114.837	1140.02	-0.159985	-0.00235457	-0.0015513	0.793884	0.0175725	-0.144619	0.0900146	0	0.889739	0.975538	-2.01449	0.0136352	0.204704	0.548495	-0.852253
																	
C:\PCS\PCS64e\Curves\2022'12'26-17'31'05-TupyS-1_1.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	116.45	1140.98	-0.263889	0	-0.00379086	0.69331	0.0190621	3.21993	-0.958334	0	2.08366	1.46655	-0.679655	-0.0438969	1.17256	0.179046	0
PUP	123.087	1139.05	-0.346931	-0.0143206	0.000853998	0.767591	0.00846602	2.05057	-0.0969311	0	1.0292	0.870363	-0.193204	0.00185805	0.192389	0.689281	-0.442387
																	
C:\PCS\PCS64e\Curves\2022'12'26-19'54'47-TupyS-1_2.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
PUP	94.9643	1146.17	-0.396943	0.0101621	-0.00161565	0.573201	0.00516689	0.733462	-0.146943	0	0.876871	0.0928034	0.466623	-0.0381673	-0.303678	-0.0113259	-0.202721
